date,gold_price_usd,silver_price,s&p_500_index,nyse_com_index,usd_selling_exrate,gold_lkr
2/1/2014,1225,20,1832,10283,132.2262,158637
3/1/2014,1238,20,1831,10297,132.2112,160948
6/1/2014,1238,20,1827,10270,132.2162,162423
7/1/2014,1229,20,1838,10327,132.1961,162412
8/1/2014,1225,20,1837,10321,132.2267,160678
9/1/2014,1229,20,1838,10326,132.2467,160417
10/1/2014,1247,20,1842,10371,132.1864,160949
13/01/2014,1251,20,1819,10256,132.1662,163627
14/01/2014,1245,20,1839,10343,132.1628333,163131.6667
15/01/2014,1238,20,1848,10385,132.1594667,162636.3333
16/01/2014,1240,20,1846,10376,132.1561,162141
17/01/2014,1252,20,1839,10343,132.096,162519
20/01/2014,1252,20,1838,10341,132.1662,164319
21/01/2014,1242,20,1844,10366,132.1763,163813
22/01/2014,1239,20,1845,10369,132.2367,162490
23/01/2014,1263,20,1828,10269,132.2367,161321
24/01/2014,1265,20,1790,10034,132.2267,164865
27/01/2014,1264,20,1782,9981,132.1562,166529
28/01/2014,1251,19,1793,10067,132.2266,164571
29/01/2014,1262,20,1774,9963,132.2467,163904
30/01/2014,1242,19,1794,10049,132.1964,165117
31/01/2014,1238,19,1783,9968,132.1562,162487
3/2/2014,1260,19,1742,9742,132.1863,162745
4/2/2014,1252,19,1755,9817,132.18125,163408
5/2/2014,1257,20,1752,9809,132.1762,164071
6/2/2014,1258,20,1773,9940,132.1461,164184
7/2/2014,1263,20,1797,10055,132.1311,164599
10/2/2014,1275,20,1800,10050,132.1661,165895
11/2/2014,1290,20,1820,10170,132.2066,167922
12/2/2014,1295,20,1819,10174,132.2416,168304
13/02/2014,1300,20,1830,10229,132.2466,169000
14/02/2014,1319,21,1839,10283,132.2366,171300.5
17/02/2014,1324,20,1821,10181,132.2266,173601
18/02/2014,1325,22,1841,10319,132.2466,173120
19/02/2014,1321,22,1829,10254,132.2568,172341
20/02/2014,1317,22,1840,10317,132.2768,171629
21/02/2014,1324,22,1836,10307,132.3372,172710
24/02/2014,1338,22,1848,10370,132.3472,173076
25/02/2014,1343,22,1845,10354,132.4177,174697
26/02/2014,1328,21,1845,10350,132.4677,175399
27/02/2014,1332,21,1854,10398,132.4677,174943
28/02/2014,1321,21,1859,10426,132.4677,174487
3/3/2014,1350,21,1846,10330,132.2362,175818
4/3/2014,1338,21,1874,10490,132.076,176434
